名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-08,氪金游戏策划的人生体验,诸葛皮皮9527,262.8万,4063,http://www.bilibili.com/video/BV1dG411c7Ua
第2名,2022-11-08,我也不想上学，但我的老师是初音未来哎,林带鱼w,384.9万,2901,http://www.bilibili.com/video/BV1pK411m7yN
第3名,2022-11-08,当代大学生在养一种很新的东西,白日梦不要钱--,243.2万,671,http://www.bilibili.com/video/BV17D4y1t7eK
第4名,2022-11-08,不好意思，打扰到你们了,糗糗庄园,141.6万,1357,http://www.bilibili.com/video/BV13d4y1w7uL
第5名,2022-11-08,我收服了MC里所有的生物！！,与山0v0,176.3万,1.1万,http://www.bilibili.com/video/BV1KP4y127Dd
第6名,2022-11-08,《原神》过场动画-「折枝落梦」,原神,161.4万,6499,http://www.bilibili.com/video/BV17D4y1t74j
第7名,2022-11-08,看几遍都觉得好笑哈哈哈,碧天蓝钻,273.4万,337,http://www.bilibili.com/video/BV1YV4y137Dz
第8名,2022-11-08,鹅了个鹅,高斯Goh,244.4万,1.3万,http://www.bilibili.com/video/BV1SW4y1x76F
第9名,2022-11-08,骑行浪迹川西，一路风景如画，帐篷里烧炉子做饭好惬意,徐云流浪中国,101万,3.2万,http://www.bilibili.com/video/BV1JW4y147UU
第10名,2022-11-08,这些生活小常识人人都应了解～,刘加勇医生,172.1万,1076,http://www.bilibili.com/video/BV15d4y1r7MT
第11名,2022-11-08,磨树表演,杜海皇,145.9万,1.4万,http://www.bilibili.com/video/BV1c84y1v7uF
第12名,2022-11-08,老爸老弟这认真的态度，我是真心佩服。,疯狂小杨哥,209万,1199,http://www.bilibili.com/video/BV1Y14y1V7Zg
第13名,2022-11-08,探秘美国拳头公司，总部食堂！！S12比赛从这里发起？,Meetfood觅食,143.8万,7111,http://www.bilibili.com/video/BV1se4y117Rd
第14名,2022-11-08,【高燃】究竟什么样的结局，才配得上这一路的颠沛流离,LPL战术小黑板,201.6万,2903,http://www.bilibili.com/video/BV1ue411F7nu
第15名,2022-11-08,茫茫宇宙为何遇不到外星文明，人类只是囚笼角落滋生的苔藓和蟑螂？！！《隐形时代》上,科幻视界,197万,6812,http://www.bilibili.com/video/BV1iD4y147A1
第16名,2022-11-08,折叠屏iPhone全球首发！「科技美学」出品 iPhoneV 经费爆炸/怒肝300天,科技美学,113.5万,5937,http://www.bilibili.com/video/BV1MG4y1f7iF
第17名,2022-11-08,男大学生唱第一句我就跪下了,榴莲阿呀,309.3万,2585,http://www.bilibili.com/video/BV1UG4y1b7dM
第18名,2022-11-08,从来没见过宝剑嫂这么害怕过…（给她准备了大惊喜）,拉宏桑,120.4万,4188,http://www.bilibili.com/video/BV1mv4y1D7UG
第19名,2022-11-08,还记得这位黑销冠吗？来看看她给这三位新娘的婚纱服务，你们喜欢哪位新娘的梦中情纱？,李如儒也是李蠕蠕,118.1万,1317,http://www.bilibili.com/video/BV1cP4y127C7
第20名,2022-11-08,举头望明月，怕黑的我有了让自己发光的勇气,朱铁雄,116.1万,305,http://www.bilibili.com/video/BV1gt4y1K7ao
第21名,2022-11-08,假如室友关系像情侣....,熬一耶ye,286.2万,6448,http://www.bilibili.com/video/BV1Te4y117yc
第22名,2022-11-08,这一针，扎出了我童年的回忆,逗比的雀巢,229.8万,1万,http://www.bilibili.com/video/BV1nD4y1t7Up
第23名,2022-11-08,等等..！打劫好像不是用这个的吧！？..,捏碳碳碳碳,154.5万,2948,http://www.bilibili.com/video/BV14e411F7hy
第24名,2022-11-08,背叛肉体的下场！这个游戏隐藏着令人窒息的「真相」,附魔星Fms,169万,7508,http://www.bilibili.com/video/BV1eg411B7rA
第25名,2022-11-08,【22娘×33娘】小2子，露出鸡脚了吧！,其人,106.6万,810,http://www.bilibili.com/video/BV1Bv4y1D71g
第26名,2022-11-08,它，九成九高中生的，心魔,小老师钱一,92.8万,1万,http://www.bilibili.com/video/BV1ae411F7vo
第27名,2022-11-08,社死！第一次见家长，200斤表哥要求公主抱上床？！,三十六贱笑,70.7万,7218,http://www.bilibili.com/video/BV1qe411F7z4
第28名,2022-11-08,【S12全球总决赛】总决赛 11月6日 T1 vs DRX,哔哩哔哩英雄联盟赛事,513.3万,7万,http://www.bilibili.com/video/BV12P411w7V4
第29名,2022-11-08,一种可以从底部灌水的杯子，拿起来还不漏？这是啥原理,李论科学,524.5万,540,http://www.bilibili.com/video/BV1KW4y147oG
第30名,2022-11-08,当男人聚会不带女友时！,吕长隆,394.4万,142,http://www.bilibili.com/video/BV1WV4y137Bs
第31名,2022-11-08,【原神】看好了，小草神的全新玩法！,ulu秋名山,192.4万,655,http://www.bilibili.com/video/BV1tt4y1K7d8
第32名,2022-11-08,我，最厚的防线！,尴尬的铁根er,155.9万,3156,http://www.bilibili.com/video/BV1Nd4y1w7aY
第33名,2022-11-08,周末不上班玩个游戏虐待一下自己,某幻君,94.8万,8280,http://www.bilibili.com/video/BV1s24y1f7Ts
第34名,2022-11-08,来东北黑龙江吃什么不踩坑！,小曹和辉哥-逛吃,119.3万,615,http://www.bilibili.com/video/BV1ut4y1K7m1
第35名,2022-11-08,每天一遍摆烂再见❌4个方法快速进入学习状态,是你们的康康,69.5万,1207,http://www.bilibili.com/video/BV17G4y187oM
第36名,2022-11-08,【原神】宵宫JK皮肤！你的烟花少女——「夏日花火·新」,万老板,103.5万,434,http://www.bilibili.com/video/BV1We4y1179f
第37名,2022-11-08,不要尝试！！不要尝试！！不要尝试！！,阿哈哈哈哈哈黑猫警长,299.1万,7927,http://www.bilibili.com/video/BV1te4y117CJ
第38名,2022-11-08,石头人:“头好痒，感觉要长出脑子了。”,困困君丶,163.5万,528,http://www.bilibili.com/video/BV1FK411m7Fi
第39名,2022-11-08,这才配叫吃席吧！清华状元和游戏职业哥的婚礼吃什么？【婚宴鉴定ep02-YJJ女流】,王师傅和小毛毛,125.6万,6176,http://www.bilibili.com/video/BV1Hg411B7KZ
第40名,2022-11-08,这XX也行啊！锐评辉夜大小姐完结骚操作！UP主看完高呼烂活！,瓶子君152,113.1万,4841,http://www.bilibili.com/video/BV1GD4y1t7Sk
第41名,2022-11-08,大石桥联盟回来了《黑桃A》,李雪秋get版,143.9万,432,http://www.bilibili.com/video/BV1v8411h7ur
第42名,2022-11-08,【罗翔】“网课爆破”仅是无聊恶搞？细聊网络爆破中的法律问题,罗翔说刑法,117.1万,2662,http://www.bilibili.com/video/BV14d4y1r7Fg
第43名,2022-11-08,用恐怖片的方式打开购物节,papi酱,183.3万,3383,http://www.bilibili.com/video/BV1iG411c79s
第44名,2022-11-08,【原神】和 纳 西 妲 的 一 天！,俺妹妹就是这么可爱,87.1万,2747,http://www.bilibili.com/video/BV1QG411c71M
第45名,2022-11-08,“你们不要再这样吃面了，这样只会饿死我！”【5】,盗月社食遇记,112.7万,8744,http://www.bilibili.com/video/BV1jd4y1r76f
第46名,2022-11-08,张镇辉台球正经教学【6个不太建议使用的技巧】16.0版本,张镇辉台球教学,130.2万,762,http://www.bilibili.com/video/BV1Eg411B7Hj
第47名,2022-11-08,秋天情侣氛围感自拍技巧,余小白手机摄影,87.4万,260,http://www.bilibili.com/video/BV1cP411A7ET
第48名,2022-11-08,美妙的光线啊！,四夕小田木_已黑化_,148.9万,1205,http://www.bilibili.com/video/BV1NK411m7dr
第49名,2022-11-08,耽误你们七秒  就七秒,小欧阳羊,127.3万,7075,http://www.bilibili.com/video/BV1e8411Y7nP
第50名,2022-11-08,决战！宋江成民族英雄！朝廷却无封赏？《水浒传》P45,木鱼水心,56.6万,9949,http://www.bilibili.com/video/BV1XP411w7vQ
第51名,2022-11-08,素质真的和学历无关，先好好学学做人吧,三哈兄弟-沙雕日常,138万,604,http://www.bilibili.com/video/BV1rG411c7Bo
第52名,2022-11-08,老师，你直接骂我得了,阿沛不开心,171.2万,154,http://www.bilibili.com/video/BV1L24y1f7gt
第53名,2022-11-08,【原神】草系玩法核心辅助，强度爆炸！0命纳西妲测评+教学攻略丨纳西妲使用体验报告,赫箩的苹果,67万,3660,http://www.bilibili.com/video/BV1Pe4y1x7Du
第54名,2022-11-08,“后来才发现，猴哥的悟性可不是一般的高啊！”,wrizedm,83.7万,1235,http://www.bilibili.com/video/BV1Z14y1V7YB
第55名,2022-11-08,猫猫修理工，但是日语版,彩虹酱哇,137.1万,753,http://www.bilibili.com/video/BV1nW4y177pw
第56名,2022-11-08,dva换肤，但是真人版,清和Alicia,84.2万,217,http://www.bilibili.com/video/BV1hW4y177RD
第57名,2022-11-08,【尘歌壶幻梦的城堡】免费复制，属于纳西妲被囚禁时期的美梦具象化城堡。,恣意布嘤布嘤,71.8万,273,http://www.bilibili.com/video/BV1ne4y117kd
第58名,2022-11-08,13岁女画家，如何颠覆生物学对变态的认知？【透明的她 01】,小透明明TM,64.7万,3439,http://www.bilibili.com/video/BV1pG4y187fD
第59名,2022-11-08,在一起第九年，他向我求婚啦！,元气小鸡血,35.1万,6593,http://www.bilibili.com/video/BV1V84y1v74p
第60名,2022-11-08,绿 色 毒 刺 骨 川 小 夫,路路迷路路,96.4万,1103,http://www.bilibili.com/video/BV1v8411h7AH
第61名,2022-11-08,少年感站姿拍照！这边可以占用你一分钟吗？,闰土RUNTU,68.1万,126,http://www.bilibili.com/video/BV1v8411h7gn
第62名,2022-11-08,“在冰岛遇见了一位像神一样的男子”,internet-boy,156.3万,1285,http://www.bilibili.com/video/BV1tm4y1c7YK
第63名,2022-11-08,你们说，这飞机是降还是不降？,TaxiWay飞行中心-屠屠,223.9万,145,http://www.bilibili.com/video/BV14G4y187nn
第64名,2022-11-08,【STN快报6.5季12】我帮阿根廷发展经济，竟被遣返回国,STN工作室,71.3万,8263,http://www.bilibili.com/video/BV1Hg411B7t5
第65名,2022-11-08,校内丑关我校外什么事啊,逍飞free,121.1万,338,http://www.bilibili.com/video/BV1x24y1f77v
第66名,2022-11-08,我老婆好像在玩一种很新的东西?,麟宣森,306.8万,3959,http://www.bilibili.com/video/BV1cd4y1w7Fk
第67名,2022-11-08,【SAO】今日正式公测开始 - SAO Utils 2 使用简介,GPBeta,69.1万,243,http://www.bilibili.com/video/BV1iv4y1U7xA
第68名,2022-11-08,两亿老年人，困在厕所里,滤镜粉碎机,66.5万,2220,http://www.bilibili.com/video/BV1VD4y1t7Qu
第69名,2022-11-08,我妹是懂量词的,小叮当的一家,101.7万,574,http://www.bilibili.com/video/BV1o14y1V7EL
第70名,2022-11-08,2022秋冬农具国际展宜宾分展,农家女陈欣欣,112.6万,2366,http://www.bilibili.com/video/BV1kD4y1471B
第71名,2022-11-08,一边搞开发，一边怼策划！原神这元素反应系统太逆天了！,亚食人,64.2万,1306,http://www.bilibili.com/video/BV1pe411F7od
第72名,2022-11-08,大学生要学会生病,Zhan丨,91.7万,2062,http://www.bilibili.com/video/BV1ov4y1D7PA
第73名,2022-11-08,流水冲击50亿！小草神凭什么感动世界，创造奇迹？（原神文化考据25）,Muc虚空之翼,78万,3500,http://www.bilibili.com/video/BV1J8411h7ui
第74名,2022-11-08,泰国路边摊-冰冰姐椰子,泰国阿航,87.4万,1666,http://www.bilibili.com/video/BV1xe411F74M
第75名,2022-11-08,自律真的会让我变得闪闪发光,陕陕发光_,464.2万,1718,http://www.bilibili.com/video/BV1FG411P7EF
第76名,2022-11-08,某些男士！！清醒一点！！,叫俺旭儿,64.7万,410,http://www.bilibili.com/video/BV1i14y1V7dH
第77名,2022-11-08,《精神状况渐入佳境》,王七叶-,132.4万,379,http://www.bilibili.com/video/BV1zV4y137xX
第78名,2022-11-08,那一夜 我复盘了好久,星有野,233万,1722,http://www.bilibili.com/video/BV1PW4y147cK
第79名,2022-11-08,妈妈陪我去相亲后，她终于能理解我了……,皮皮在农村阿,96.7万,657,http://www.bilibili.com/video/BV1RR4y1f79M
第80名,2022-11-08,当的是班长吗？不！是人情世故,朱家寨少寨主,82.8万,144,http://www.bilibili.com/video/BV1ve411F797
第81名,2022-11-08,号称全世界最豪华的监狱，监狱犯人都吃什么？,HOLA小测佬,75.3万,6067,http://www.bilibili.com/video/BV1X84y1i7Bf
第82名,2022-11-08,磨损两年半的门没人修修吗？,一个真正的鳗u_u,69.6万,337,http://www.bilibili.com/video/BV1WD4y1t7mV
第83名,2022-11-08,街头吃完这个烤玉米，又要出个远门了。,刘庸干净又卫生,117.8万,4549,http://www.bilibili.com/video/BV1584y1q7Q1
第84名,2022-11-08,应季食物——雪糕,摊主阿良,147.5万,1671,http://www.bilibili.com/video/BV17e411F7TP
第85名,2022-11-08,当代网友能把遗憾描写到什么程度,小鹿手写-,85.5万,487,http://www.bilibili.com/video/BV15d4y1c7Pp
第86名,2022-11-08,“我肯定在几百年前就判过你刑”,自动鬼畜中的WZ,511.4万,3410,http://www.bilibili.com/video/BV1SP411A7Lv
第87名,2022-11-08,杭州这家自助餐刚开业，仨战士就来团建了，老板哭了！,吃不饱仨战士,112.2万,1395,http://www.bilibili.com/video/BV1ht4y1K7Zq
第88名,2022-11-08,小草神，最快的渡海真君！【原神】,靖妖一心,159万,1851,http://www.bilibili.com/video/BV1Te4y117tm
第89名,2022-11-08,爬墙植物爬满一墙，为什么要花钱把它们清理掉呢？,全球不知道,332万,293,http://www.bilibili.com/video/BV1Ye411F7KS
第90名,2022-11-08,究极难打！这游戏凭什么登顶flash难度巅峰？#1,谁不重要i,76.5万,4416,http://www.bilibili.com/video/BV1224y1f7DY
第91名,2022-11-08,Past Lives 停车场 清唱,野贝贝_,60.2万,179,http://www.bilibili.com/video/BV1Dv4y1D7fg
第92名,2022-11-08,突击检查国内首家路易威登餐厅,成都市场监管,158.4万,4957,http://www.bilibili.com/video/BV1fP4y117BT
第93名,2022-11-08,原神经典名梗,游戏老八不扒瞎,108.8万,1607,http://www.bilibili.com/video/BV1st4y1K7gn
第94名,2022-11-08,谍 战 · 甄 嬛 传丨“众爱妃随朕一起上阵杀敌！”,逆转的桥,48.5万,1612,http://www.bilibili.com/video/BV1eV4y137Vp
第95名,2022-11-08,其实你的眼睛就是个差不多先生,画久久99,89.1万,152,http://www.bilibili.com/video/BV1xK411m7MK
第96名,2022-11-08,《佛系猫猫队》,戒喵中心,51.3万,4507,http://www.bilibili.com/video/BV1cG411w7Cg
第97名,2022-11-08,全程感受山东北部的普通农村婚礼,谷轩良,94.1万,3274,http://www.bilibili.com/video/BV1XG411c7Ux
第98名,2022-11-08,我承认我有赌的心态,迪士尼在逃黄狗coco,77.8万,179,http://www.bilibili.com/video/BV1ee4y1176Y
第99名,2022-11-08,《小运镜师纳西妲》,小鱼点原神,93.8万,360,http://www.bilibili.com/video/BV1Cg411B76E
第100名,2022-11-08,美 人 鱼 才 不 是 恋 爱 脑 ！,樱桃马天妮,46.9万,122,http://www.bilibili.com/video/BV1AP411A7zW
