名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-04,《原神》角色演示-「纳西妲：无垠无忧」,原神,419.3万,3.8万,http://www.bilibili.com/video/BV1PP4y1U7qA
第2名,2022-11-04,CSGO玉麒麟本麟上线,玉麒麟csgo,82.8万,1751,http://www.bilibili.com/video/BV1kG411A75E
第3名,2022-11-04,摆！,小潮院长,245.4万,2万,http://www.bilibili.com/video/BV1Re4y1y7Tf
第4名,2022-11-04,“喜欢这种氛围感，雨声很大内心却很平静～”,咕咕啊啊咕,147.5万,1530,http://www.bilibili.com/video/BV1dR4y1Q7vZ
第5名,2022-11-04,喝醉后的行为有多离谱？我们把自己灌醉后记录了下来,小缸和阿灿,186.3万,3.2万,http://www.bilibili.com/video/BV19e4y1y7HV
第6名,2022-11-04,⚡️ 小 老 鼠 也 很 可 爱 ⚡️,哦呼w,261.7万,2140,http://www.bilibili.com/video/BV1xG4y1h7Kj
第7名,2022-11-04,原神尘歌壶花海秋千免费复制码，点击领取a,千反田的凉仔,130.1万,661,http://www.bilibili.com/video/BV1ge4y1t7RV
第8名,2022-11-04,猫猫怎么可以这么倒霉！,戒喵中心,354.5万,1435,http://www.bilibili.com/video/BV15P4y1m7r9
第9名,2022-11-04,扫码点餐默认勾选“餐具费”？我的钱包不能我做主？,成都市场监管,261.4万,3889,http://www.bilibili.com/video/BV1dP4y1m7XD
第10名,2022-11-04,海澜之家空中变装,Zhang_Jinming,178.4万,586,http://www.bilibili.com/video/BV1eg41167nC
第11名,2022-11-04,“我肯定在几百年前就判过你刑”,自动鬼畜中的WZ,178.9万,1624,http://www.bilibili.com/video/BV1SP411A7Lv
第12名,2022-11-04,今年最离谱的一餐！小伙买单差点哭了.....,哇塞几张,142.1万,1万,http://www.bilibili.com/video/BV12D4y147GS
第13名,2022-11-04,谁是斯诺登的老前辈？【硬核狠人42】,小约翰可汗,166.5万,1.8万,http://www.bilibili.com/video/BV1QV4y1g7qH
第14名,2022-11-04,发生踩踏事故，到底该用什么自救姿态,一诺求生录,187.6万,1609,http://www.bilibili.com/video/BV1mY411f7vt
第15名,2022-11-04,我证明！新闻里说的是事实！中国空间站真的就像搭积木一样,凹凸赛克,104.7万,6172,http://www.bilibili.com/video/BV1a8411Y7Go
第16名,2022-11-04,【原神】草神纳西妲武器伤害期望对比+圣遗物选择，流浪乐章再次证明了自己（魔导绪论是把好武器诶,卡特亚,144.8万,2105,http://www.bilibili.com/video/BV1kD4y147fA
第17名,2022-11-04,人过了20岁，就不能吃得像个小孩子了。,盗月社食遇记,173.8万,2万,http://www.bilibili.com/video/BV1at4y1M7hx
第18名,2022-11-04,小僵尸出没！ε-(´∀｀; )神的随波逐流～,凛子同学提不起劲,177.6万,359,http://www.bilibili.com/video/BV1Xe411G7t4
第19名,2022-11-04,店里敢卖500一只的鸡，自己在家做，能省多少钱？,绵羊料理,311.9万,1.8万,http://www.bilibili.com/video/BV1WG4y1h7Tt
第20名,2022-11-04,起诉甲方爸爸,俏佳人xxx,111.5万,1542,http://www.bilibili.com/video/BV1gd4y1C7W1
第21名,2022-11-04,是时候让舍友懂得如何做一个合格的大学生了,三哈兄弟-沙雕日常,467.3万,1026,http://www.bilibili.com/video/BV1Xd4y1k7Je
第22名,2022-11-04,【花样滑冰】| 约尔花滑 ❤ 纵享丝滑,-猫猫冰-,136.1万,1143,http://www.bilibili.com/video/BV1zm4y1c7qx
第23名,2022-11-04,心理学大师教你如何用多巴胺自律上瘾？,T君T酱,85.6万,2148,http://www.bilibili.com/video/BV1iG4y1b7Np
第24名,2022-11-04,NASA、纳粹、麻省理工，火箭为何从东方升起？【钱学森上】【正经比比】,阿Test正经比比,261.7万,5628,http://www.bilibili.com/video/BV1u14y1L7wg
第25名,2022-11-04,新人up大一第一次30s动画作业,狐肆乱又在胡思乱想,107.1万,392,http://www.bilibili.com/video/BV1uP4y1m73P
第26名,2022-11-04,赏～,熬一耶ye,110.9万,3921,http://www.bilibili.com/video/BV1Bd4y1c7s7
第27名,2022-11-04,论一个Bbox全国冠军用嘴巴模仿歌曲有多像,是删青啊,241.8万,1696,http://www.bilibili.com/video/BV1te4y147QZ
第28名,2022-11-04,你 这 是 玩 命,冰冰你猜猜,109.1万,323,http://www.bilibili.com/video/BV18v4y1D7vG
第29名,2022-11-04,哪有什么恐怖故事，不过是吃人的礼教罢了「丝滑变装」,老八捌,75.6万,215,http://www.bilibili.com/video/BV12D4y147J1
第30名,2022-11-04,《明日方舟》EP - Thorns In You,明日方舟,76.1万,6423,http://www.bilibili.com/video/BV1Ld4y1C7kY
第31名,2022-11-04,无意间，翻抽屉发现一张五年前的底片，太棒了，学习#手机摄影 #我没选错,清扬摄影,167.4万,130,http://www.bilibili.com/video/BV17g41167sy
第32名,2022-11-04,【凤凰传奇农家乐】满满一锅牛排的【铁锅焖面】,凤凰传奇,115万,5093,http://www.bilibili.com/video/BV1rD4y147iD
第33名,2022-11-04,蓝色妖姬切尔西！不要给我丢垃圾！,建德保安大队长,140.3万,571,http://www.bilibili.com/video/BV1vm4y1c7Rk
第34名,2022-11-04,【原神童话】森林，会记住一切,愚人戏社,34.3万,921,http://www.bilibili.com/video/BV1MD4y187xh
第35名,2022-11-04,画一幅画纪念童年时期最爱的电影和角色,画小人的罗元,102万,418,http://www.bilibili.com/video/BV1BD4y1b7os
第36名,2022-11-04,盾山航天皮肤CG首发！星辰大海，永不止步！,王者荣耀,174.1万,3284,http://www.bilibili.com/video/BV1De4y1y7vJ
第37名,2022-11-04,“她说了一句话，全校听完之后都炸了...”,柠檬派奇幻漂流,317.7万,11.2万,http://www.bilibili.com/video/BV1jG411A7aZ
第38名,2022-11-04,开服3年老玩家，当我看了方舟动画第1集后......,泛式,80万,3929,http://www.bilibili.com/video/BV1xt4y1M73y
第39名,2022-11-04,国剧终于有手刃所有恶人的反派女主了！！看起来人畜无害 结果是全剧的大boss ！划破喉咙那一刀真的利落到吓人！,nbys08,146.3万,1504,http://www.bilibili.com/video/BV12G4y1b7LF
第40名,2022-11-04,因为淋过雨，所以要把他的伞撕的稀巴烂。,凳子凳子_,93.8万,88,http://www.bilibili.com/video/BV16t4y1M7W7
第41名,2022-11-04,【原神】看好了，小草神是这样玩的！,ulu秋名山,169.4万,1442,http://www.bilibili.com/video/BV1ZV4y1g7D2
第42名,2022-11-04,【原神】劫波莲速刷路线（懒人拍照版）【小草神纳西妲突破材料】,Ziv紫薇,51.7万,346,http://www.bilibili.com/video/BV1f84y1i7e8
第43名,2022-11-04,异地多年终于在村里办了婚礼，老公竟当场挑衅老丈人！,饲养员小谢,62.3万,2676,http://www.bilibili.com/video/BV1Yg41167jJ
