名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-15,亿 点 点,MEspace天植,299.1万,2368,http://www.bilibili.com/video/BV13G4y1f7nP
第2名,2022-11-15,老年痴呆眼里的世界是这样的！,熊羽的北漂成长日记,519.3万,1148,http://www.bilibili.com/video/BV1e841187R8
第3名,2022-11-15,⚡考 研 秘 籍⚡,伊丽莎白鼠,201.1万,1582,http://www.bilibili.com/video/BV1h24y127fa
第4名,2022-11-15,下课千万别睡觉！！,乐天乔宇派,387.3万,815,http://www.bilibili.com/video/BV1NP4y1m7g4
第5名,2022-11-15,耗时3个月！我们做了一个干净免费的知识共享网站！中学选科/高考志愿/大学转专业/保研考研择校择专业/就业规划必备！,取景框看世界,150.3万,880,http://www.bilibili.com/video/BV1M24y127xb
第6名,2022-11-15,尽绵薄之力，盼国风盛行,朱铁雄,422.3万,1447,http://www.bilibili.com/video/BV1ed4y1r7gF
第7名,2022-11-15,当你在校运会上唱起《孤勇者》并跳起了《爱你》| 南科大2022校运会开幕式力量举社表演,大勒個熊,514.1万,6846,http://www.bilibili.com/video/BV1id4y1r7fm
第8名,2022-11-15,下地干活，不就是为了那几只鸡吗,王大姐来了,190万,799,http://www.bilibili.com/video/BV1Md4y1c7eg
第9名,2022-11-15,【传染病简史1】霍乱：屠戮过亿，将人活活吸干的蓝死病,医学科普联盟,302万,1.4万,http://www.bilibili.com/video/BV1Yv4y1S713
第10名,2022-11-15,【医案寻踪】如何降低近视度数？I 近视，不过就是一门生意,兔叭咯,221.6万,7924,http://www.bilibili.com/video/BV1xd4y1k7W8
第11名,2022-11-15,（ 霸 凌 之 战 ）猫妹：无所谓 我会出手,星有野,352.8万,7757,http://www.bilibili.com/video/BV18841187nP
第12名,2022-11-15,“请等我失败死掉后，再来笑我吧”,貂蟬的腿毛,208.9万,436,http://www.bilibili.com/video/BV1H84y1y7sU
第13名,2022-11-15,原神攻略UP主：这么肝，值得吗？,不普通人类实录,143.4万,6861,http://www.bilibili.com/video/BV1Wd4y1k756
第14名,2022-11-15,我的第一条“vlog”，能上热门吗？,导演小策,125.8万,2.4万,http://www.bilibili.com/video/BV1bG4y1f7fj
第15名,2022-11-15,巴尔泽布，我再也不登神啦！全58位角色秒杀散兵周本合集,早早柚犯困,104.3万,8220,http://www.bilibili.com/video/BV1v841187An
第16名,2022-11-15,《不听话挑战》,某幻君,137.5万,9511,http://www.bilibili.com/video/BV1Ae4y1s71T
第17名,2022-11-15,“你看，这个世界好温柔!”,柒杯抹茶星冰乐--,176.1万,4438,http://www.bilibili.com/video/BV1hG411F7uR
第18名,2022-11-15,黑帮教父的心酸发家史，这也太励志了吧！,昭希燃剪,186.9万,6077,http://www.bilibili.com/video/BV1zg411s7iG
第19名,2022-11-15,宝可梦世界锦标赛决赛 小智vs丹帝，完整版6V6全面对战,口袋迷ag,154.4万,1.7万,http://www.bilibili.com/video/BV1BP411c79f
第20名,2022-11-15,一咬就爆汁的鸡腿,澳洲阿彭,168.8万,951,http://www.bilibili.com/video/BV1QP411c7oV
第21名,2022-11-15,我是一名煤矿工人，这是我的最后一个夜班，也是最后一个井，平安退休,煤球球爱生活,196.2万,2444,http://www.bilibili.com/video/BV1Et4y1N7Ws
第22名,2022-11-15,健身10年无人知，妹妹露脸万人来，隔离第16天,张十七历险记,564万,1.4万,http://www.bilibili.com/video/BV1eG4y1t7SK
第23名,2022-11-15,粉丝-1 ！二男一女在酒店吸毒致幻后各种迷惑行为拉满，未完待续。,阿特警官,401万,8132,http://www.bilibili.com/video/BV1YW4y1s7xC
第24名,2022-11-15,你小子就这么糊弄校领导的是罢,雪妖MUsubi,187.9万,1076,http://www.bilibili.com/video/BV1he4y1W73u
第25名,2022-11-15,用五边形画缠绕的五角星# 一学就会,安祺爱画画,205.3万,350,http://www.bilibili.com/video/BV1v84y1y7pt
第26名,2022-11-15,“就一次，万一呢？”,翠花不太脆,104.8万,888,http://www.bilibili.com/video/BV1Vd4y1k7mx
第27名,2022-11-15,【原神】纳西妲菩萨点化散孩儿,惊悸quasar,111.8万,962,http://www.bilibili.com/video/BV1mG4y1t7yt
第28名,2022-11-15,【2022共创之夜】完整版回放：很高兴遇见你,王者荣耀,555.9万,9971,http://www.bilibili.com/video/BV1n84y1y7Dr
