名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-22,羊村（1）,小潮院长,378.2万,6.1万,http://www.bilibili.com/video/BV1Xt4y1N73i
第2名,2022-11-22,宁波.宁海食府  厨子探店¥？？,真探唐仁杰,231.6万,3009,http://www.bilibili.com/video/BV1vg411v7pE
第3名,2022-11-22,领导想不起来的那些事，你真的要提醒他。,圆脸颖入职记,289.8万,661,http://www.bilibili.com/video/BV1qG4y14799
第4名,2022-11-22,炉石主播王师傅聊网易暴雪谈崩停服,王师傅和小毛毛,214万,1.6万,http://www.bilibili.com/video/BV1H24y117k7
第5名,2022-11-22,伪装成零食卖给小孩？这种黑产我见一个曝一个！,老爸评测,330.9万,3286,http://www.bilibili.com/video/BV1i14y1H7cU
第6名,2022-11-22,阿嚏,老番茄,159.5万,7879,http://www.bilibili.com/video/BV1HG4y1Z7VE
第7名,2022-11-22,当我第八次尝试rap,某幻君,64.8万,6668,http://www.bilibili.com/video/BV1EP411g7sx
第8名,2022-11-22,音乐会返场小朋友大声喊出想听《孤勇者》，乐团接下来的操作让人破防❤️❤️,中国网直播,126.4万,1753,http://www.bilibili.com/video/BV1VG4y147Gb
第9名,2022-11-22,3人23道菜，吃跑了唐老师！,吃不饱仨战士,194.2万,1673,http://www.bilibili.com/video/BV15P41137D4
第10名,2022-11-22,完了！漠叔真去当岛主了？<南边的那片海>纪录片首发,大漠叔叔,131.8万,5803,http://www.bilibili.com/video/BV1f3411Z7dW
第11名,2022-11-22,丧尸危机，我起初以为只是个笑话。,雄十一浪,151.9万,788,http://www.bilibili.com/video/BV1rR4y1f7Cd
第12名,2022-11-22,神作之月！十年前的奇迹！新番时光机「2012年10月篇」,泛式,116.6万,1.4万,http://www.bilibili.com/video/BV1Eg411v7a1
第13名,2022-11-22,哪些技能老师默认你会了，实际上没人告诉你。,小阳很爱笑,79.6万,187,http://www.bilibili.com/video/BV1MP4y1R7zE
第14名,2022-11-22,疯狂社死！ 第一次带女朋友回家过夜，妈妈外婆要求睡一起...,三十六贱笑,106.5万,7598,http://www.bilibili.com/video/BV14G411c7gy
第15名,2022-11-22,闺蜜谈了帅哥我后牙槽都咬碎了,七颗猩猩QKXX,228.8万,465,http://www.bilibili.com/video/BV1ov4y1m7m1
第16名,2022-11-22,看海贼的和看火影的都沉默了......,-夏秋冬-,212.1万,3508,http://www.bilibili.com/video/BV1D44y1Q7im
第17名,2022-11-22,退钱哥到达卡塔尔世界杯大游轮！,何胜0423,211.4万,1077,http://www.bilibili.com/video/BV1y14y1H7EG
第18名,2022-11-22,筹备5年，只为拍一张照，卖了1175w,安迪的美院日常,156.1万,257,http://www.bilibili.com/video/BV1xY411o7Ee
第19名,2022-11-22,评分7.0！风评不佳？诚实吐槽特摄电影《新奥特曼》,瓶子君152,151.7万,4744,http://www.bilibili.com/video/BV1S24y1y7yn
第20名,2022-11-22,蚌埠住了...哪个鬼才教你这么二创的？！,MJ小林大人嗷,197.5万,1309,http://www.bilibili.com/video/BV15G4y1Z7q1
第21名,2022-11-22,中国队为什么不参加世界杯,狈总,579.7万,6220,http://www.bilibili.com/video/BV18D4y1s7Tp
第22名,2022-11-22,IKUN的一天|居家幻想版,小鸭子厨房,120.9万,493,http://www.bilibili.com/video/BV1bW4y1W7Yf
第23名,2022-11-22,【高圆圆】和我一起在海边吹吹风吧！,高圆圆,152.5万,1022,http://www.bilibili.com/video/BV1qg411v7F3
第24名,2022-11-22,【没啥用科技】全新UPhone14，震撼发布！,没啥用科技,140.4万,5616,http://www.bilibili.com/video/BV1te4y1p7Gv
第25名,2022-11-22,这台灯，救了无数人的性命！,戴博士实验室,158.6万,730,http://www.bilibili.com/video/BV1BD4y1s7ig
第26名,2022-11-22,征方腊！梁山生离死别，张顺涌金门归神！《水浒传》P47,木鱼水心,68.5万,1.2万,http://www.bilibili.com/video/BV14G4y147Gc
第27名,2022-11-22,【STN快报6.5季14】把冥界当家的奎托斯会讲地狱笑话么？,STN工作室,85.7万,1.4万,http://www.bilibili.com/video/BV1YW4y1x7B9
第28名,2022-11-22,《原神》EP - 妙狐徜徉之影,原神,115.8万,3592,http://www.bilibili.com/video/BV1bR4y1f7P2
