名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-18,每天一个告白小技巧,八云兔不秃,273.9万,2676,http://www.bilibili.com/video/BV1Pd4y187tE
第2名,2022-11-18,⚡考 研 秘 籍⚡,伊丽莎白鼠,341.1万,2164,http://www.bilibili.com/video/BV1h24y127fa
第3名,2022-11-18,当我让53岁的爸爸COS七海建人,大米壹袋袋,166.5万,1506,http://www.bilibili.com/video/BV1wM411C7Ce
第4名,2022-11-18,我用400天，做了一款让所有人免费商用的开源字体,oooooohmygosh,126.3万,2244,http://www.bilibili.com/video/BV1sP411g7PZ
第5名,2022-11-18,逆徒！！！,亿剪盖儿,323.1万,2882,http://www.bilibili.com/video/BV1J84y1y7U5
第6名,2022-11-18,《关于我在重庆的一天》居家幻想版，大家居家都在吃什么呀～,富婆雯仔100道路边摊,314.3万,1982,http://www.bilibili.com/video/BV1bW4y1s7Ej
第7名,2022-11-18,【年度泪失禁短片】不管你去到哪里，妈妈明天一定到,Siri的观影日记,231.4万,1922,http://www.bilibili.com/video/BV1Z841187fN
第8名,2022-11-18,等了9年，这个男人终于亲手为我做了饭…,盗月社食遇记,174.4万,9137,http://www.bilibili.com/video/BV13K411Z7sj
第9名,2022-11-18,【原神动画】此刻，重现魔神战争的一角,light是光华,83.8万,489,http://www.bilibili.com/video/BV1dY411d7UQ
第10名,2022-11-18,可是她是公主诶,姜生花_,227.8万,456,http://www.bilibili.com/video/BV1Ce4y1W7ZR
第11名,2022-11-18,旺！旺！！,周老头呀,153.8万,268,http://www.bilibili.com/video/BV1xP411c7nt
第12名,2022-11-18,【伯爵狗】小舞段，有变装，不影响动作衔接,伯爵狗,68.8万,383,http://www.bilibili.com/video/BV1AW4y1x7Hd
第13名,2022-11-18,钻石汤姆,动画成君,188.6万,3819,http://www.bilibili.com/video/BV1f84y1v7Yd
第14名,2022-11-18,械问正传,浮沉工作室,159.5万,882,http://www.bilibili.com/video/BV1wd4y1c74k
第15名,2022-11-18,下课千万别睡觉！！,乐天乔宇派,532.1万,1112,http://www.bilibili.com/video/BV1NP4y1m7g4
第16名,2022-11-18,大家帮想想办法，以后再遇到这个大妈我们怎么解释？,岛城三人行,119.4万,456,http://www.bilibili.com/video/BV1aG4y1x7o6
第17名,2022-11-18,养了几只水桶腰的猫···,爪子殿下,191.5万,675,http://www.bilibili.com/video/BV1iG411F7Fz
第18名,2022-11-18,【原神】⚡妲 乐 器⚡,黑铱BlackIris,137万,678,http://www.bilibili.com/video/BV16g411s7dM
第19名,2022-11-18,哪个国家专克带英？【奇葩小国42】,小约翰可汗,74.2万,1.4万,http://www.bilibili.com/video/BV1r24y1y7r6
第20名,2022-11-18,职场人的内心独白番外篇之——到底什么意思啊？总监大人！,papi酱,125.4万,1630,http://www.bilibili.com/video/BV1k84y1y7Ek
第21名,2022-11-18,无 她，只 因 手 熟 尔！,逗武者旭晖,182.3万,2157,http://www.bilibili.com/video/BV1XG411F7Sq
第22名,2022-11-18,本来挺喜欢扭脖子的……,建客8米2,174.4万,817,http://www.bilibili.com/video/BV1p14y1W75g
第23名,2022-11-18,粉丝-1 ！二男一女在酒店吸毒致幻后各种迷惑行为拉满，未完待续。,阿特警官,675.9万,1.1万,http://www.bilibili.com/video/BV1YW4y1s7xC
第24名,2022-11-18,我，30岁，靠吃妹妹软饭在B站爆火！！,张十七历险记,253.2万,6953,http://www.bilibili.com/video/BV1X84y1y74B
第25名,2022-11-18,袁隆平作词，三代合唱团同台演唱《种子》，禾下乘凉梦终能实现,王者荣耀,225.2万,2707,http://www.bilibili.com/video/BV1Jv4y1m7zh
第26名,2022-11-18,我愿称之为“巧夺天工”！刚出土的翡翠白菜，真不舍得吃~丨面果白菜,老饭骨,103万,3919,http://www.bilibili.com/video/BV1Uv4y1m7ve
第27名,2022-11-18,不想穿鞋那就别穿了,彬彬找乐子,154.7万,566,http://www.bilibili.com/video/BV1Zt4y1N7gb
第28名,2022-11-18,【原神整活】 纳西妲：王   德   发！！？？,折腾5号,175.3万,3574,http://www.bilibili.com/video/BV1dP4y127ou
第29名,2022-11-18,离谱！假装陪女友熬夜熬出重病…女友看到偷换的假体检报告人傻了？,盖里老哥,94.6万,5267,http://www.bilibili.com/video/BV19v4y1m7Ro
第30名,2022-11-18,《当代年轻人的选择》,澈洌chan,67.8万,381,http://www.bilibili.com/video/BV1vG4y1o76F
第31名,2022-11-18,(路见不平三部曲) 一  ："你把我俩当空气？",星有野,159.4万,347,http://www.bilibili.com/video/BV1yt4y1N7kA
第32名,2022-11-18,原来这些都不是全国统一的,粤知一二,232.1万,2930,http://www.bilibili.com/video/BV17841187BT
第33名,2022-11-18,“究竟是什么样的人，才会喜欢这种氛围”（4）,咕咕啊啊咕,54万,686,http://www.bilibili.com/video/BV1S84y1y7ez
第34名,2022-11-18,考试的和生日的，都沉默了,小叮当的一家,112.5万,303,http://www.bilibili.com/video/BV1UG411F7uT
第35名,2022-11-18,漫威禁地「癌变宇宙」有多恐怖？吞星头颅被做成引擎，毒虫猛兽横扫千军,努力的Lorre,110.5万,1135,http://www.bilibili.com/video/BV1jM411C768
第36名,2022-11-18,假如室友关系是父子..... 其实不用假如...,熬一耶ye,85.9万,1366,http://www.bilibili.com/video/BV1ag411q7tm
第37名,2022-11-18,开幕雷击！《猫和老鼠》的片头竟然这么有趣！有秘密彩蛋？,大福咕咕,76.6万,2059,http://www.bilibili.com/video/BV1MK411Z7Vg
第38名,2022-11-18,修勾便利店，但是日语版,彩虹酱哇,80.2万,406,http://www.bilibili.com/video/BV1LG4y1o7Bk
第39名,2022-11-18,从此以后第一个小说东北女主诞生了,九呵呵-,98.6万,268,http://www.bilibili.com/video/BV11t4y1N7KY
第40名,2022-11-18,与其精神内耗自己，不如发疯外耗别人,会为你画大饼,76.4万,51,http://www.bilibili.com/video/BV1H14y1W7hr
第41名,2022-11-18,世界最大的鹅？光一个头就要980块！吃起来却像……,王师傅和小毛毛,81.9万,2623,http://www.bilibili.com/video/BV1k8411j7QY
第42名,2022-11-18,米津玄师被创飞是什么梗【梗指南】,梗指南,103.5万,1398,http://www.bilibili.com/video/BV1VK411Z7nw
第43名,2022-11-18,我去，这种卡在游戏王里好像叫枪王【水无月菌】,水无月菌,97.1万,1873,http://www.bilibili.com/video/BV1q14y1W7uw
第44名,2022-11-18,✨踏入白色殿堂，你选择谁？✨,在下小狐兔,40.8万,1745,http://www.bilibili.com/video/BV1oG411F7B9
第45名,2022-11-18,中国小伙历时半年，在阿富汗盖了一所学校，惊动了当地大佬,藏锋Kevin,93.6万,3950,http://www.bilibili.com/video/BV11Y411Z7BT
第46名,2022-11-18,玛丽还是T0吗,蛋花卷saikou,81.6万,165,http://www.bilibili.com/video/BV1EP411g7bK
